it pstep dstep pinfeas dinfeas  gap     mean(obj)    cputime    kap   tau    theta
--------------------------------------------------------------------------------------------
 0|0.000|0.000|1.4e+03|2.1e+02|4.4e+05| 0.000000e+00| 0:0:01|4.4e+05|1.0e+00|1.0e+00| spchol 1  1
 1|0.011|0.011|1.4e+03|2.1e+02|4.4e+05|-6.934945e-01| 0:0:01|4.4e+05|1.0e+00|1.0e+00| chol 1  1
 2|0.037|0.037|1.3e+03|2.1e+02|4.5e+05|-3.342732e+00| 0:0:02|4.4e+05|1.0e+00|9.9e-01| chol 1  1
 3|0.113|0.113|1.3e+03|2.0e+02|4.7e+05|-1.145092e+01| 0:0:02|4.2e+05|1.0e+00|9.5e-01| chol 1  1
 4|0.321|0.321|1.1e+03|1.8e+02|4.7e+05|-2.924993e+01| 0:0:02|3.7e+05|1.0e+00|8.3e-01| chol 1  1
 5|0.728|0.728|1.1e+03|1.7e+02|8.2e+05|-9.733478e+01| 0:0:03|2.4e+05|6.2e-01|4.9e-01| chol 1  1
 6|1.000|1.000|7.4e+02|1.2e+02|1.0e+06|-2.621460e+02| 0:0:03|9.7e+04|3.7e-01|2.1e-01| chol 1  1
 7|1.000|1.000|6.9e+02|1.1e+02|2.0e+06|-5.508224e+02| 0:0:03|4.5e+04|2.0e-01|1.0e-01| chol 1  1
 8|1.000|1.000|4.6e+02|7.1e+01|2.2e+06|-1.279062e+03| 0:0:04|1.8e+04|1.3e-01|4.3e-02| chol 1  1
 9|1.000|1.000|1.5e+02|2.4e+01|9.3e+05|-1.850812e+03| 0:0:04|3.8e+03|1.0e-01|1.1e-02| chol 1  1
10|1.000|1.000|1.4e+02|2.2e+01|1.5e+06|-3.347795e+03| 0:0:04|1.6e+03|6.0e-02|6.2e-03| chol 1  1
11|0.731|0.731|4.6e+01|7.2e+00|3.9e+05|-2.382618e+03| 0:0:05|6.4e+01|7.6e-02|2.6e-03| chol 1  1
12|0.751|0.751|2.2e+01|3.4e+00|1.2e+05|-1.138395e+03| 0:0:05|4.5e+00|1.2e-01|1.9e-03| chol 1  1
13|0.804|0.804|1.7e+00|2.6e-01|2.9e+03|-4.929393e+01| 0:0:05|3.5e+00|3.3e-01|4.1e-04| chol 1  1
14|0.794|0.794|1.0e+00|1.6e-01|1.6e+03|-8.266292e+01| 0:0:06|8.0e-01|4.0e-01|3.0e-04| chol 1  1
15|1.000|1.000|2.5e-01|3.9e-02|2.5e+02|-1.756590e+01| 0:0:06|1.8e-01|6.3e-01|1.1e-04| chol 1  1
16|1.000|1.000|6.5e-02|1.1e-02|4.0e+01|-4.827005e+00| 0:0:06|3.8e-02|1.1e+00|5.1e-05| chol 1  1
17|0.935|0.935|1.3e-02|3.6e-03|6.3e+00|-6.475304e-01| 0:0:07|3.1e-02|1.4e+00|1.3e-05| chol 1  1
18|1.000|1.000|7.8e-03|2.8e-03|3.5e+00|-2.088700e-01| 0:0:07|6.4e-03|1.4e+00|8.3e-06| chol 1  1
19|0.919|0.919|1.8e-03|2.2e-03|7.5e-01|-3.367630e-02| 0:0:07|4.2e-03|1.7e+00|2.2e-06| chol 1  1
20|1.000|1.000|7.0e-04|1.9e-03|2.8e-01|-1.019499e-02| 0:0:07|9.0e-04|1.8e+00|9.3e-07| chol 1  1
21|1.000|1.000|2.5e-04|1.6e-03|9.1e-02|-2.831410e-03| 0:0:08|4.6e-04|1.9e+00|3.5e-07| chol 1  1
22|1.000|1.000|1.1e-04|1.4e-03|3.8e-02|-1.065037e-03| 0:0:08|1.6e-04|1.9e+00|1.6e-07| chol 1  1
23|1.000|1.000|4.4e-05|1.3e-03|1.5e-02|-2.676661e-04| 0:0:08|7.2e-05|1.9e+00|6.3e-08| chol 1  1
24|1.000|1.000|1.9e-05|1.1e-03|6.5e-03|-7.719397e-05| 0:0:09|2.9e-05|2.0e+00|2.8e-08| chol 1  1
25|0.978|0.978|4.7e-06|4.8e-04|1.5e-03| 4.908958e-06| 0:0:09|1.3e-05|2.0e+00|6.9e-09| chol 1  1
26|1.000|1.000|1.7e-06|1.8e-04|5.7e-04|-3.702527e-06| 0:0:09|3.1e-06|2.0e+00|2.5e-09| chol 1  1
27|0.927|0.927|4.6e-07|8.1e-05|1.4e-04| 1.882526e-06| 0:0:10|1.3e-06|2.0e+00|6.7e-10| chol 1  1
28|1.000|1.000|1.4e-07|2.9e-05|4.5e-05| 5.217556e-07| 0:0:10|2.8e-07|2.0e+00|2.0e-10| chol 1  1
29|1.000|1.000|4.0e-08|1.2e-05|1.3e-05| 2.978597e-07| 0:0:10|8.9e-08|2.0e+00|5.8e-11| chol 1  1
30|1.000|1.000|1.6e-09|4.7e-07|5.4e-07| 9.763547e-09| 0:0:11|2.6e-08|2.0e+00|2.4e-12| chol 1  1
31|1.000|1.000|3.4e-11|9.5e-09|1.1e-08| 1.866349e-10| 0:0:11|1.1e-09|2.0e+00|4.9e-14|
